,Date,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245,INM-CM4-8_ssp370,INM-CM4-8_ssp585,INM-CM5-0_ssp126,INM-CM5-0_ssp245,INM-CM5-0_ssp370,INM-CM5-0_ssp585,MIROC6_ssp126,MIROC6_ssp245,MIROC6_ssp370,MIROC6_ssp585,MIROC-ES2L_ssp126,MIROC-ES2L_ssp245,MIROC-ES2L_ssp370,MIROC-ES2L_ssp585,MPI-ESM1-2-LR_ssp126,MPI-ESM1-2-LR_ssp245,MPI-ESM1-2-LR_ssp370,MPI-ESM1-2-LR_ssp585,MRI-ESM2-0_ssp126,MRI-ESM2-0_ssp245,MRI-ESM2-0_ssp370,MRI-ESM2-0_ssp585,NorESM2-MM_ssp126,NorESM2-MM_ssp245,NorESM2-MM_ssp370,NorESM2-MM_ssp585
4431,2064-03-24,155.17695384575134,249.1935885093557,70.24430009030769,126.63807642371053,50.13456642856667,62.06581074975283,71.8799017686847,11.913804082464416,331.5537988268803,134.2627707131314,446.2911583572435,100.90351231663001,308.0504092556456,0.0,240.96557591923292,73.97206313390019,74.6225094920627,114.6907659764953,248.60852618637438,107.09177260700221,152.71900091971435,224.00142385384325,88.44645264451168,221.8804803223274,54.91080260341884,129.36698525782955,126.80676747182444,145.241690597972,0.0,4.974122198719589,71.46379618911325,26.846813340357652,0.0,0.0,43.20652706738072,187.0771721626026
4432,2064-03-31,155.17695384575134,249.1935885093557,70.24430009030769,126.63807642371053,50.13456642856667,62.06581074975283,71.8799017686847,11.913804082464416,331.5537988268803,134.2627707131314,446.2911583572435,100.90351231663001,308.0504092556456,0.0,240.96557591923292,73.97206313390019,74.6225094920627,114.6907659764953,248.60852618637438,107.09177260700221,152.71900091971435,224.00142385384325,88.44645264451168,221.8804803223274,54.91080260341884,129.36698525782955,126.80676747182444,145.241690597972,0.0,4.974122198719589,71.46379618911325,26.846813340357652,0.0,0.0,43.20652706738072,187.0771721626026
4433,2064-04-07,0.0,18.446217197106854,0.0,124.52131383294804,165.66238585414592,146.36061318542454,160.26039376519054,28.870143202669098,313.6369494206526,1004.0259262421725,0.0,25.93896820252743,979.3527542227878,0.0,534.0667256264331,0.0,773.8924670152571,48.75774715946433,484.27035350676596,311.8918550386642,0.0,155.42396902904215,133.54797019421648,1088.7463894094517,255.59577517853901,156.1796050591277,233.0506691840572,127.38159209418207,411.9070148899785,271.62762927393754,0.0,0.0,155.50143270027223,112.42169873821636,60.62771836274609,132.2107841897579
4434,2064-04-14,0.0,18.446217197106854,0.0,124.52131383294804,165.66238585414592,146.36061318542454,160.26039376519054,28.870143202669098,313.6369494206526,1004.0259262421725,0.0,25.93896820252743,979.3527542227878,0.0,534.0667256264331,0.0,773.8924670152571,48.75774715946433,484.27035350676596,311.8918550386642,0.0,155.42396902904215,133.54797019421648,1088.7463894094517,255.59577517853901,156.1796050591277,233.0506691840572,127.38159209418207,411.9070148899785,271.62762927393754,0.0,0.0,155.50143270027223,112.42169873821636,60.62771836274609,132.2107841897579
4435,2064-04-21,0.0,18.446217197106854,0.0,124.52131383294804,165.66238585414592,146.36061318542454,160.26039376519054,28.870143202669098,313.6369494206526,1004.0259262421725,0.0,25.93896820252743,979.3527542227878,0.0,534.0667256264331,0.0,773.8924670152571,48.75774715946433,484.27035350676596,311.8918550386642,0.0,155.42396902904215,133.54797019421648,1088.7463894094517,255.59577517853901,156.1796050591277,233.0506691840572,127.38159209418207,411.9070148899785,271.62762927393754,0.0,0.0,155.50143270027223,112.42169873821636,60.62771836274609,132.2107841897579
4436,2064-04-28,0.0,18.446217197106854,0.0,124.52131383294804,165.66238585414592,146.36061318542454,160.26039376519054,28.870143202669098,313.6369494206526,1004.0259262421725,0.0,25.93896820252743,979.3527542227878,0.0,534.0667256264331,0.0,773.8924670152571,48.75774715946433,484.27035350676596,311.8918550386642,0.0,155.42396902904215,133.54797019421648,1088.7463894094517,255.59577517853901,156.1796050591277,233.0506691840572,127.38159209418207,411.9070148899785,271.62762927393754,0.0,0.0,155.50143270027223,112.42169873821636,60.62771836274609,132.2107841897579
4437,2064-05-05,0.0,0.0,169.05319156068452,394.91399332353797,0.0,0.0,864.0917659643533,0.0,1786.6494456464702,986.4146869764542,0.0,1142.1460578333274,0.0,3224.3654864542455,0.0,0.0,371.2903803060908,2179.139385682369,0.0,0.0,35.556836138423336,516.4301898327084,0.0,342.7532502388623,0.0,916.0905510454626,170.62010510633485,62.57422001781061,0.0,148.0351046442367,753.1631863791799,54.634739509237264,0.0,186.54232420550625,109.93491049683108,0.0
4438,2064-05-12,0.0,0.0,169.05319156068452,394.91399332353797,0.0,0.0,864.0917659643533,0.0,1786.6494456464702,986.4146869764542,0.0,1142.1460578333274,0.0,3224.3654864542455,0.0,0.0,371.2903803060908,2179.139385682369,0.0,0.0,35.556836138423336,516.4301898327084,0.0,342.7532502388623,0.0,916.0905510454626,170.62010510633485,62.57422001781061,0.0,148.0351046442367,753.1631863791799,54.634739509237264,0.0,186.54232420550625,109.93491049683108,0.0
4439,2064-05-19,0.0,0.0,169.05319156068452,394.91399332353797,0.0,0.0,864.0917659643533,0.0,1786.6494456464702,986.4146869764542,0.0,1142.1460578333274,0.0,3224.3654864542455,0.0,0.0,371.2903803060908,2179.139385682369,0.0,0.0,35.556836138423336,516.4301898327084,0.0,342.7532502388623,0.0,916.0905510454626,170.62010510633485,62.57422001781061,0.0,148.0351046442367,753.1631863791799,54.634739509237264,0.0,186.54232420550625,109.93491049683108,0.0
4440,2064-05-26,0.0,0.0,169.05319156068452,394.91399332353797,0.0,0.0,864.0917659643533,0.0,1786.6494456464702,986.4146869764542,0.0,1142.1460578333274,0.0,3224.3654864542455,0.0,0.0,371.2903803060908,2179.139385682369,0.0,0.0,35.556836138423336,516.4301898327084,0.0,342.7532502388623,0.0,916.0905510454626,170.62010510633485,62.57422001781061,0.0,148.0351046442367,753.1631863791799,54.634739509237264,0.0,186.54232420550625,109.93491049683108,0.0
