Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245
05-04-2057,1.039739540170726,0.596373425976906,0.7420170407594306,2.0747079240984108,0.8325510651092999,0.7458480445196364,0.7582117581736749,0.3096503002355608,1.5935311840261424,0.7036077730145236
12-04-2057,0.9699561893789794,0.6294785769554284,1.3113553543311336,2.6335429569885496,0.7626034564439601,0.8842719993263699,1.5501857741339105,0.4179391746663434,1.5891029140823003,1.2671838873949683
19-04-2057,0.9274493536370112,0.6482722918723606,1.6086222203024787,1.9624814115521705,0.7167378049501265,0.7400627576806649,1.5966718224479988,0.4696859314888227,2.078632328562483,1.7264819330560344
26-04-2057,0.55863,0.305223,1.1367502938739702,1.19252,0.410129,0.66533,0.892545,0.29372,1.22727,0.828001
03-05-2057,0.493717,0.309444,1.0274886786445991,1.50718,0.777443,1.49063,0.73273,1.05898,1.00714,1.45808
10-05-2057,0.574956,0.44251,0.9702743320217336,1.6818,1.017,1.84562,0.785018,1.63626,1.8282,1.69115
17-05-2057,0.759491,0.554051,0.938231552057146,1.4047,0.874696,1.49738,0.967358,1.30636,2.56867,1.75026
24-05-2057,0.779958,0.481559,0.8583315572390927,1.2022,0.910101,1.34022,0.933502,1.20591,2.16202,1.7647
31-05-2057,0.685073,0.4652519255434862,0.9268978467951028,1.22416,0.863398,1.23126,1.0668192454225065,1.508169382900196,1.76607,1.57093
07-06-2057,0.59865,0.4255398923869946,0.8831174095644765,1.5921,0.855408,1.29573,0.9624455062637488,1.3571802936075958,1.5581,1.50893
14-06-2057,0.706848,0.4003325920532493,0.8204226957664105,1.66379,0.848293,1.58773,0.902814696387332,1.213969485544409,1.5759,1.48983
21-06-2057,0.92148,0.4188294249466776,0.8030899106706177,1.44353,0.787703,2.1486,0.9029852459085448,1.1079492242634363,1.55292,1.44312
28-06-2057,0.887333,1.3071224581045413,0.519127,2.3401056464422325,1.4517371066940394,3.07889,0.837776,1.3017438955218372,1.69098,2.02855
05-07-2057,1.2408,1.2325847983658045,0.75586,2.108431341546866,1.3289888214497063,3.00274,0.902913,1.1292441436827991,1.89692,2.32233
12-07-2057,1.48499,1.1370330613062114,0.851892,1.8916400000109144,1.144758724166032,2.33586,0.818918,0.9356137293167984,1.77314,1.88755
19-07-2057,1.31576,1.103816334839088,0.72876,1.742972394397711,1.0381378338669736,1.98069,0.73672,0.8166069398203726,1.58277,1.60375
26-07-2057,1.2005,0.30613,0.9017795466450256,1.1069057414816217,0.621554,2.4168865332625904,0.8982775266111613,0.5610627834447066,2.41728913479823,3.2875904399950544
02-08-2057,1.64682,0.282583,0.8119004202193502,1.0189331136770725,0.675922,2.0772910070379256,0.8187133373824462,0.4958473025386424,2.055904748654202,2.5807991971456863
09-08-2057,1.82445,0.262274,0.7288701226089154,0.9513704326437056,0.610975,1.800299143224614,0.7618551346866312,0.4498157835721946,1.816790779746296,2.200103368497043
16-08-2057,1.42312,0.280528,0.6528495324795609,0.852106269318199,0.537745,1.5449057116260212,0.6686375701827966,0.4122732347986075,1.5611419470636854,1.824704570106349
23-08-2057,1.18453,0.350227,0.5927730668859613,0.7939647767006963,0.486423,1.3436843966579972,0.5963360228181134,0.3813062968308761,1.342780101429284,1.56746751395441
30-08-2057,1.151110698276516,0.5246722874937259,0.5147976259068278,0.7408455796961229,0.5843883774127072,1.0878813909255838,0.5085200740036078,0.3549483186181368,1.3579215175218473,1.1991597226116069
06-09-2057,1.0261678732073052,0.4430596009808991,0.4678866702998034,0.6807914272609408,0.5565427407541517,0.9759753031225614,0.4642385068178569,0.3667079104159723,1.165069127958647,1.0533175085814537
13-09-2057,0.9118053708634608,0.3732001753099064,0.4163577868379079,0.6196096895900924,0.484926702355133,0.877826865087891,0.413258393174602,0.3696240337607915,0.9862427728000144,0.9143999120240218
20-09-2057,0.8196778016290907,0.3447374734347969,0.391179198693741,0.5770785112437028,0.4532726729163363,0.8031462518013732,0.3804054065091592,0.3356927867366237,0.8855740621835194,0.8300595635860119
27-09-2057,0.6956136920751401,0.2504248831539009,0.3280305209080061,0.4870981579694654,0.376503,0.71255275859988,0.3229527624107407,0.2822159363215765,0.5989901819405108,0.6174133635212956
04-10-2057,0.6220803664149537,0.2272309044656665,0.2994536396065616,0.4477650990967177,0.346219,0.6549931177908648,0.294117009348937,0.257608103161381,0.5500559623668964,0.5681502437263212
11-10-2057,0.5633541727938961,0.2108827339937071,0.2776398038864101,0.4130009414942332,0.318316,0.6013191482053682,0.2706746911770453,0.2377679502744664,0.5104479301344395,0.5236466596842209
18-10-2057,0.5085340914615691,0.1938061575326566,0.2549551943876499,0.3790909948479319,0.290743,0.5510098800096774,0.2483278410236239,0.2186722892057945,0.4711683066779785,0.477273427157592
25-10-2057,0.46672601344,0.1794426192465809,0.233499322109149,0.3636903706177762,0.2741803026578683,0.5084051873343866,0.2333245511661229,0.2026028780909294,0.4595526628074594,0.4530046050448909
01-11-2057,0.4267284615005753,0.1686176993636399,0.220625155150402,0.3694737275018797,0.2544724429330121,0.4711489575498459,0.217393528078762,0.1892917396272036,0.4292458145441996,0.4183386055008816
08-11-2057,0.393773045529387,0.159519287804019,0.209660219873576,0.3670408052042785,0.2372105906281175,0.4387513795184187,0.2033752554186233,0.1784639580033568,0.3987616882796552,0.3938050639405885
15-11-2057,0.3653766440046428,0.1518990804284541,0.1977491395423191,0.3429571922130362,0.2224666946826902,0.4098336154833251,0.1913664124847156,0.1691382451795561,0.3732427873227341,0.3734210450728793
22-11-2057,0.3328498842211109,0.133527,0.1826642761855639,0.3282289491290042,0.201462,0.3828625411905048,0.1732505272255242,0.1562887031027692,0.326443,0.3394033893710052
29-11-2057,0.3113217120239683,0.126937,0.1726370734879901,0.3244345136775952,0.191114,0.3588592959369573,0.1644241415944538,0.1474770863125918,0.307454,0.3172144918229309
06-12-2057,0.2930172488492337,0.120886,0.1635070465506434,0.3179322470360113,0.182478,0.3379161657157549,0.1553670991273417,0.1402238650547235,0.290295,0.300565172202961
