Timestamp,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245
03-05-2007,10.467,10.467,10.467,10.467,10.467,10.467,10.467,10.467,10.467,10.467
10-05-2007,9.61826,9.61826,9.61826,9.61826,9.61826,9.61826,9.61826,9.61826,9.61826,9.61826
17-05-2007,9.01477,9.01477,9.01477,9.01477,9.01477,9.01477,9.01477,9.01477,9.01477,9.01477
24-05-2007,8.39428,8.39428,8.39428,8.39428,8.39428,8.39428,8.39428,8.39428,8.39428,8.39428
31-05-2007,7.82984,7.82984,7.82984,7.82984,7.82984,7.82984,7.82984,7.82984,7.82984,7.82984
07-06-2007,7.31217,7.31217,7.31217,7.31217,7.31217,7.31217,7.31217,7.31217,7.31217,7.31217
14-06-2007,6.84405,6.84405,6.84405,6.84405,6.84405,6.84405,6.84405,6.84405,6.84405,6.84405
21-06-2007,6.4594,6.4594,6.4594,6.4594,6.4594,6.4594,6.4594,6.4594,6.4594,6.4594
28-06-2007,6.11707,6.11707,6.11707,6.11707,6.11707,6.11707,6.11707,6.11707,6.11707,6.11707
05-07-2007,5.75067,5.75067,5.75067,5.75067,5.75067,5.75067,5.75067,5.75067,5.75067,5.75067
12-07-2007,5.41794,5.41794,5.41794,5.41794,5.41794,5.41794,5.41794,5.41794,5.41794,5.41794
19-07-2007,5.10319,5.10319,5.10319,5.10319,5.10319,5.10319,5.10319,5.10319,5.10319,5.10319
26-07-2007,4.81722,4.81722,4.81722,4.81722,4.81722,4.81722,4.81722,4.81722,4.81722,4.81722
02-08-2007,4.55145,4.55145,4.55145,4.55145,4.55145,4.55145,4.55145,4.55145,4.55145,4.55145
09-08-2007,4.30504,4.30504,4.30504,4.30504,4.30504,4.30504,4.30504,4.30504,4.30504,4.30504
16-08-2007,4.0763,4.0763,4.0763,4.0763,4.0763,4.0763,4.0763,4.0763,4.0763,4.0763
23-08-2007,3.92595,3.92595,3.92595,3.92595,3.92595,3.92595,3.92595,3.92595,3.92595,3.92595
